Order_Number,SKU,Quantity
3I56983663,1248,0
3I56983663,230K,1
3I56987997,1247,0
3I56987997,230K,1
3I57190962,1569,0
3I57190962,183K,1
3I57430246,1249,0
3I57430246,1294,1
3I56826291,1233,0
3I56826291,183K,1
3I56826291,1247,1
3I56270370,1249,1
3I56821418,183K,0
3I56821418,1233,1
3I57467687,154K,1
3I57467687,230K,1
3I56853342,1249,0
3I56900126,1239,0
3I56900126,1238,1
3I56853387,1249,0
3I56853387,1295,1
3I56853387,1249,0
3I56853387,1295,1
3I56821418,183K,0
3I56821418,1233,1
3I56826291,1233,0
3I56826291,183K,1
3I56826291,1247,1
3I56270370,1295,1
3I56858608,1247,0
3I56858608,230K,1
3I56857929,1233,0
3I56857929,183K,1
3I56798321,1247,0
3I56798321,1238,1
3I56853342,1249,0
3I57467687,154K,1
3I57467687,230K,1
3I56810517,4114,0
3I56810517,1295,1
3I56377457,1249,0
3I56377457,1295,1
3I56270370,111,1
3I56262926,1569,0
3I56669474,1249,0
3I56669474,1569,1
3I56479653,183K,0
3I56262926,154K,1
3I56262926,1279,1
3I56484820,1239,-1
3I56484820,1295,3
3I56484820,1296,1
3I56484820,1233,2
3I56377172,1247,0
3I56377172,080K,1
3I56631655,4114,0
3I56631655,1295,1
3I56720777,154K,1
3I56720777,230K,1
3I56590587,1233,-1
3I56590587,1239,2
3I56590587,1247,1
3I56590587,1248,1
3I56590587,1291,1
3I56590587,230K,1
3I56590587,183K,1
3I57268814,154K,1
3I57268814,1247,1
3I57268814,183K,1
3I57268814,20,2
3I57261683,1279,0
3I57261683,1295,2
3I57340185,1569,0
3I56122159,1249,0
3I56122159,1291,1
3I57184305,230K,0
3I56154790,183K,1
3I56153822,1295,1
3I56182279,1247,0
3I56182279,080K,1
3I56265226,4114,0
3I56265226,1295,1
3I56269720,1296,1
3I56178419,1233,2
3I56178419,65,1
3I56178419,2865,1
3I56178419,1279,1
3I56178419,025K,-1
3I56287924,1249,0
3I56287924,1294,1
3I56333620,1296,1
3I56262926,080K,1
3I56262926,1296,4
3I56262926,1238,1
3I56262926,1294,1
3I56262926,1295,1
3I56624923,1569,0
3I56624923,1293,1
3I56826982,230K,0
3I56826982,230K,0
3I57279748,1247,1
3I57279748,183K,0
3I56109329,4114,0
3I56109329,1295,1
3I56207268,1296,1
3I56205799,4114,0
3I56205799,1279,1
3I56362257,1248,0
3I56362257,1291,1
3I56121651,1247,0
3I56121651,1295,1
Z7G9275149,1247,1
Z7G9275149,1239,1
Z7G9275149,1233,1
Z7G9275149,1569,1
Z7G9275149,1295,1
Z7G9275149,1296,-1
Z7G9275149,080K,1
Z7G9275149,1278,1
Z7G9275149,111,1
3I58040343,154K,1
3I58040343,4114,-1
3I58619176,1295,0
3I58619176,1248,1
3I58614436,154K,1
3I58614436,1279,1
3I58614436,1291,1
3I58614436,183K,1
3I58570218,1269,0
3I58570218,183K,1
3I58040343,1233,1
3I58435075,1236,0
3I58435075,1569,1
3I58435075,183K,1
3I58374818,1249,1
3I58374818,1295,1
3I58374818,1233,1
3I58406691,1247,0
3I58406691,1291,1
3I58330420,1239,0
3I58330420,1295,1
3I58292407,1233,1
3I58310423,1295,0
3I58310423,1249,1
3I58311432,154K,1
3I58311432,1238,1
3I58309607,4114,0
3I58309607,1295,1
3I58315155,230K,-1
3I58315155,1296,1
3I58315155,1248,1
3I58315155,1233,1
3I58315155,183K,2
3I58265611,1247,0
3I58265611,1233,1
3I58265611,1279,1
3I58266119,4114,-1
3I58266119,154K,1
3I58266119,183K,1
3I58266119,1236,1
3I58249294,4114,0
3I58249294,230K,1
3I58183048,1249,0
3I58183048,1295,1
3I58213832,1296,1
3I58126482,154K,1
3I58126482,1291,1
3I58040343,1295,1
3I58040343,183K,1
3I58047822,1247,1
3I58047822,1569,0
3I58515951,046K,0
3I58708686,183K,0
